customer_id,tenure_months,monthly_logins,avg_session_time,usage_growth_rate,support_tickets,csat_score,nps_score,payment_failures,contract_type,customer_segment,weekly_active_days,features_used,avg_resolution_time,escalations,last_login_days_ago,total_revenue,price_increase_last_3m,email_open_rate,marketing_click_rate,churn
CUST_000021,17,29,9.97,0.2988,1,7.2,44.0,0,Annual,SMB,3,8,27.66,0,16.3,6327.14,0,0.9457,0.422,0
CUST_000022,2,32,19.38,0.5039,2,7.3,67.8,0,Annual,Mid-Market,7,17,21.12,0,19.6,5339.39,1,0.7117,0.3195,0
CUST_000023,6,18,42.33,-0.2456,1,9.7,4.4,0,Monthly,Enterprise,3,6,15.3,0,3.2,3503.09,0,0.5382,0.0846,0
CUST_000024,8,30,26.69,0.0849,4,4.6,3.0,0,Monthly,Enterprise,7,6,42.48,1,1.4,4478.47,0,0.599,0.304,0
CUST_000025,10,23,17.59,-0.2075,4,5.2,6.7,0,Annual,SMB,7,11,13.73,1,0.4,7662.78,0,0.2294,0.0318,0
CUST_000026,27,27,46.04,-0.1747,5,4.7,3.2,0,Multi-year,Mid-Market,6,7,21.0,1,0.0,5363.08,0,0.6453,0.1096,0
CUST_000027,4,27,30.85,-0.1958,3,8.8,-5.1,0,Monthly,Mid-Market,5,8,55.45,0,0.0,26031.96,0,0.8359,0.2827,0
CUST_000028,12,37,25.18,-0.0336,0,8.6,31.8,0,Monthly,SMB,7,10,7.32,0,0.0,12500.0,0,0.4557,0.2667,0
CUST_000029,16,40,24.96,-0.1706,2,7.4,1.1,0,Multi-year,Enterprise,7,12,16.39,1,0.0,23770.53,1,0.5213,0.2475,0
CUST_000030,1,25,29.59,0.6697,0,6.7,45.3,0,Monthly,Mid-Market,4,7,15.47,0,1.9,10729.21,0,0.7251,0.1079,0
CUST_000031,16,25,12.45,-0.0649,3,6.7,52.1,2,Annual,SMB,3,11,12.23,0,0.0,9463.96,0,0.3535,0.0463,0
CUST_000032,3,24,10.75,0.2969,3,6.5,9.9,0,Annual,SMB,5,7,15.84,0,0.3,34140.77,0,0.3969,0.161,0
CUST_000033,1,29,8.5,-0.1149,1,8.3,26.3,0,Annual,Mid-Market,7,4,17.07,0,2.2,7993.21,0,0.9364,0.1352,0
CUST_000034,53,36,14.67,0.6083,3,9.9,29.8,1,Monthly,Mid-Market,7,12,13.67,0,3.2,11429.98,0,0.7759,0.1542,0
CUST_000035,60,33,46.01,0.1348,4,5.3,50.7,1,Multi-year,SMB,2,13,18.4,2,7.1,30105.88,0,0.3488,0.163,1
CUST_000036,29,25,16.99,0.2592,3,6.4,25.4,0,Annual,SMB,4,10,33.36,0,0.0,14161.43,0,0.2793,0.1124,0
CUST_000037,6,22,43.85,-0.0978,1,7.0,19.8,0,Annual,Enterprise,4,9,16.64,2,0.0,25017.83,0,0.775,0.1431,0
CUST_000038,1,20,11.45,0.2941,2,3.4,44.3,1,Annual,SMB,5,4,16.47,0,0.8,9681.5,1,0.5642,0.12,0
CUST_000039,20,30,35.46,0.1337,3,8.4,13.0,0,Monthly,Mid-Market,6,3,24.1,0,0.0,3434.75,0,0.3891,0.0999,0
CUST_000040,10,37,38.97,-0.0447,2,7.3,18.7,0,Multi-year,Mid-Market,7,9,43.26,0,10.7,9570.95,0,0.3477,0.1659,0
CUST_000041,2,31,19.61,-0.22,3,7.6,37.3,1,Multi-year,SMB,7,12,15.29,0,0.0,28750.35,0,0.5137,0.1451,0
CUST_000042,12,26,15.98,-0.0094,2,6.3,37.4,1,Annual,SMB,3,9,25.04,0,8.6,4412.12,0,0.6662,0.2932,0
CUST_000043,1,16,10.08,-0.0308,2,7.8,13.5,1,Monthly,Enterprise,3,6,31.13,2,15.5,11020.16,0,0.4129,0.1892,0
CUST_000044,43,28,34.08,0.2673,3,6.8,36.2,0,Multi-year,Mid-Market,4,10,18.28,0,0.0,3849.18,0,0.5113,0.1915,0
CUST_000045,5,23,15.24,-0.0081,1,7.5,14.5,1,Multi-year,Enterprise,5,9,12.23,1,1.3,13738.62,0,0.5489,0.263,0
CUST_000046,19,31,14.67,-0.4304,4,8.6,10.1,0,Monthly,Enterprise,7,8,21.66,1,19.9,21631.37,0,0.7589,0.1283,0
CUST_000047,6,20,22.63,0.2115,2,7.8,16.0,3,Multi-year,SMB,4,14,16.44,0,9.0,7605.71,0,0.614,0.2319,0
CUST_000048,13,30,27.0,0.3733,3,4.8,25.9,1,Annual,SMB,7,6,54.11,1,0.0,23337.08,0,0.3477,0.1952,0
CUST_000049,14,26,10.35,-0.3665,2,7.1,35.3,0,Multi-year,SMB,6,15,40.93,1,20.3,2167.1,1,0.901,0.2372,0
CUST_000050,3,24,22.42,0.5012,3,8.8,21.6,0,Annual,Mid-Market,7,10,25.68,1,0.0,94604.06,1,0.9171,0.1439,0
CUST_000051,62,35,41.68,0.3992,3,6.8,42.8,0,Annual,Enterprise,7,14,17.6,0,0.0,68418.49,0,0.7559,0.1952,0
CUST_000052,26,21,9.63,-0.1077,3,8.2,32.2,0,Annual,Mid-Market,6,10,12.82,0,4.1,33262.61,1,0.37,0.0973,0
CUST_000053,50,27,34.86,-0.2293,4,9.2,29.9,0,Multi-year,Mid-Market,7,10,31.44,1,3.0,46733.75,0,0.6297,0.3484,0
CUST_000054,40,22,34.19,0.3132,1,8.7,41.1,0,Annual,Mid-Market,7,13,13.29,0,9.0,35213.77,0,0.6226,0.3575,0
CUST_000055,16,23,34.7,-0.2924,2,8.0,51.1,0,Monthly,SMB,7,8,13.48,0,0.0,26223.26,0,0.8733,0.3669,0
CUST_000056,45,35,29.31,-0.1171,1,7.7,41.7,0,Annual,SMB,4,15,13.47,0,0.0,62096.37,0,0.4448,0.1662,0
CUST_000057,1,29,26.23,-0.2788,1,7.0,54.1,0,Monthly,SMB,3,11,37.01,1,21.1,7566.08,1,0.2068,0.0574,1
CUST_000058,3,40,31.84,0.0515,2,7.0,45.0,0,Monthly,Enterprise,5,3,24.21,0,3.9,5215.95,0,0.9542,0.3753,0
CUST_000059,1,28,22.3,0.4163,2,9.3,29.3,1,Monthly,Mid-Market,5,7,14.47,0,0.0,2635.55,0,0.6559,0.1025,0
CUST_000060,7,26,13.39,0.1437,1,8.4,26.5,1,Annual,SMB,4,10,18.39,0,9.5,18532.81,0,0.2174,0.1125,0
CUST_000061,8,18,13.23,0.3045,1,7.1,54.4,0,Annual,Mid-Market,7,7,19.3,1,1.9,26175.74,0,0.8253,0.0861,0
CUST_000062,5,27,16.95,-0.038,3,6.6,41.1,0,Annual,Mid-Market,4,7,27.3,1,1.2,28509.14,0,0.795,0.1404,0
CUST_000063,31,39,29.77,0.0743,3,7.2,18.6,0,Monthly,SMB,6,18,12.6,0,0.3,5988.3,1,0.3884,0.1154,0
CUST_000064,7,22,17.38,-0.2566,2,7.7,17.3,0,Multi-year,SMB,3,8,15.0,0,0.0,9357.76,0,0.4977,0.0993,0
CUST_000065,5,22,15.49,0.0258,5,6.2,23.9,1,Monthly,SMB,3,7,42.98,3,11.1,6458.63,0,0.5564,0.2238,1
CUST_000066,14,26,34.42,-0.1365,2,5.5,48.4,0,Monthly,SMB,7,9,14.77,0,4.1,17520.4,0,0.898,0.5242,0
CUST_000067,2,30,19.99,0.0099,1,8.2,13.8,0,Monthly,SMB,3,13,17.9,0,0.0,9655.88,1,0.3233,0.177,0
CUST_000068,29,30,7.92,-0.0073,0,6.9,21.7,0,Annual,SMB,3,9,3.42,0,0.4,11642.01,0,0.7395,0.4006,0
CUST_000069,1,23,8.51,-0.0286,1,6.4,29.0,0,Annual,Mid-Market,2,2,31.77,1,11.2,16365.03,0,0.8595,0.1356,1
CUST_000070,78,45,11.58,0.5769,5,6.1,31.2,0,Monthly,Mid-Market,4,10,28.93,2,8.6,25127.0,0,0.2767,0.1032,1
CUST_000071,26,26,18.62,0.4919,3,6.1,-16.6,0,Annual,SMB,6,10,15.87,1,0.4,26246.54,0,0.1383,0.0814,0
CUST_000072,3,23,8.86,0.404,0,8.6,22.5,0,Monthly,Mid-Market,6,8,9.83,0,0.0,17213.71,0,0.6991,0.249,0
CUST_000073,1,24,15.42,0.4988,0,8.9,25.5,1,Monthly,SMB,4,6,20.24,0,1.1,4345.54,0,0.9947,0.2589,0
CUST_000074,30,28,13.79,0.4048,2,8.3,15.0,1,Monthly,Mid-Market,7,5,23.3,0,5.1,4924.38,0,0.9523,0.1709,0
CUST_000075,22,29,6.62,0.0444,2,7.5,37.6,0,Multi-year,Mid-Market,5,10,21.46,0,0.0,32502.24,1,0.5012,0.2092,0
CUST_000076,23,23,9.46,0.0188,0,5.6,10.9,0,Monthly,SMB,2,7,27.68,1,10.0,17083.05,0,0.5793,0.2023,0
CUST_000077,26,14,45.88,0.1089,0,8.3,38.6,0,Monthly,Mid-Market,3,7,27.67,0,1.9,48991.57,0,0.9461,0.1449,0
CUST_000078,1,22,14.09,-0.0027,3,10.0,-0.4,4,Multi-year,Mid-Market,3,8,23.48,1,6.3,32478.02,0,0.4292,0.1267,0
CUST_000079,7,25,13.77,-0.21,4,6.6,17.0,0,Annual,Mid-Market,6,2,13.49,1,4.2,16550.96,0,0.3954,0.1645,0
CUST_000080,2,32,13.06,0.1242,3,4.6,10.0,0,Multi-year,Mid-Market,7,7,31.94,1,0.0,34113.65,1,0.6492,0.2101,0
CUST_000081,35,25,22.47,-0.3415,0,8.6,26.1,0,Monthly,SMB,7,5,10.25,2,7.9,87310.96,0,0.6893,0.3241,0
CUST_000082,17,24,18.53,0.0844,1,4.7,33.4,1,Annual,SMB,7,9,5.42,0,0.0,17382.36,0,0.5307,0.194,0
CUST_000083,7,28,50.98,-0.1987,2,5.8,35.1,0,Monthly,SMB,4,5,26.48,1,0.0,5509.59,0,0.5165,0.2881,0
CUST_000084,1,26,35.07,0.0297,4,6.5,19.3,0,Monthly,SMB,7,7,28.87,1,0.0,16116.72,0,0.4343,0.065,0
CUST_000085,6,20,49.97,0.0978,2,8.9,38.2,0,Multi-year,SMB,6,9,10.29,0,8.0,28244.48,0,0.5191,0.0923,0
CUST_000086,7,35,28.27,-0.0382,2,7.4,47.6,0,Multi-year,SMB,6,9,37.76,1,0.0,29914.64,0,0.215,0.036,0
CUST_000087,23,29,26.95,-0.3601,1,6.5,5.9,1,Multi-year,Mid-Market,6,13,17.28,0,0.0,10131.75,0,0.6904,0.24,0
CUST_000088,18,19,8.96,-0.247,1,6.5,33.0,0,Multi-year,Enterprise,4,9,6.84,0,3.8,7733.82,0,0.3636,0.1064,0
CUST_000089,39,25,5.46,0.1646,6,5.0,-0.9,0,Annual,SMB,4,7,37.13,2,20.9,16617.17,0,0.3869,0.1539,0
CUST_000090,11,20,6.93,-0.0894,2,6.4,35.4,3,Monthly,SMB,4,11,24.9,1,57.1,62828.34,1,0.3536,0.1517,0
CUST_000091,2,23,5.86,0.1902,2,6.9,-8.7,0,Monthly,SMB,7,7,19.65,0,10.8,12420.79,0,0.6883,0.1147,0
CUST_000092,22,28,16.98,0.0524,6,6.7,-3.1,0,Monthly,Mid-Market,7,6,27.47,1,1.2,20197.2,0,0.5736,0.2055,0
CUST_000093,25,24,32.16,0.0005,1,8.3,34.8,1,Monthly,SMB,2,11,27.07,0,0.0,28815.52,1,0.915,0.4052,0
CUST_000094,14,33,11.95,0.1369,2,7.5,26.2,0,Multi-year,SMB,4,6,14.2,0,0.0,23731.27,0,0.6092,0.2318,0
CUST_000095,26,25,10.74,-0.1187,2,5.4,51.6,0,Monthly,SMB,7,4,11.74,0,10.3,30721.03,0,0.3436,0.1787,0
CUST_000096,12,24,29.97,0.1501,1,4.3,51.4,1,Annual,Mid-Market,6,7,18.06,0,18.4,14178.98,0,0.882,0.4459,0
CUST_000097,13,27,10.16,-0.0549,2,6.3,38.3,1,Multi-year,SMB,7,14,15.75,1,3.4,13583.78,0,0.833,0.2814,0
CUST_000098,10,21,43.56,0.6841,1,10.0,45.8,0,Monthly,Mid-Market,7,7,12.54,0,8.3,9188.98,0,0.3386,0.0917,0
CUST_000099,1,30,8.62,-0.2335,3,6.6,-2.4,1,Annual,SMB,6,8,18.38,2,18.7,16080.48,0,0.7013,0.2192,1
CUST_000100,2,17,30.93,-0.0393,1,7.6,39.7,1,Annual,Enterprise,4,3,15.49,0,20.5,79622.92,0,0.5714,0.3312,0
CUST_000101,1,28,21.09,-0.0292,2,5.1,14.2,0,Annual,SMB,7,9,12.01,2,7.4,33806.73,0,0.5151,0.2623,0
CUST_000102,18,28,3.4,-0.288,1,6.5,48.2,0,Multi-year,SMB,7,5,37.91,0,0.0,7121.32,0,0.8632,0.432,0
CUST_000103,6,28,10.43,0.2315,3,8.0,14.7,2,Monthly,Mid-Market,3,8,16.84,0,0.3,21966.93,0,0.8425,0.334,0
CUST_000104,12,23,32.52,-0.0572,1,8.1,46.5,0,Monthly,SMB,7,6,17.41,1,0.0,10951.21,0,0.9426,0.3051,0
CUST_000105,42,24,7.75,-0.5449,2,7.2,43.4,0,Annual,SMB,4,5,7.8,0,0.0,14880.92,0,0.5675,0.3293,0
CUST_000106,5,33,13.76,0.2238,1,8.0,34.4,1,Monthly,Mid-Market,7,6,25.22,0,0.0,19506.32,0,0.1994,0.0215,0
CUST_000107,9,24,6.31,-0.109,2,9.2,11.1,0,Monthly,SMB,7,10,23.48,0,4.2,10516.63,0,0.6494,0.1207,0
CUST_000108,25,29,17.19,0.0238,3,7.3,8.0,3,Multi-year,SMB,7,9,21.17,0,2.0,13512.04,0,0.5658,0.2339,0
CUST_000109,4,17,22.7,0.2192,3,9.5,50.2,0,Monthly,SMB,2,9,17.71,0,7.2,6057.81,0,0.5997,0.1112,0
CUST_000110,1,29,19.05,-0.0412,4,7.5,42.9,0,Annual,Mid-Market,6,8,28.64,2,11.4,13130.4,0,0.3039,0.0308,0
CUST_000111,6,30,20.35,-0.0432,1,6.4,15.5,0,Annual,SMB,2,9,12.6,0,0.0,15068.94,0,0.8242,0.1852,0
CUST_000112,3,27,19.08,0.6662,2,6.0,8.3,0,Annual,Mid-Market,7,9,12.42,0,0.0,24983.33,0,0.7738,0.1418,0
CUST_000113,47,31,17.28,-0.4884,2,6.7,17.5,0,Monthly,SMB,7,13,16.95,0,6.0,4071.15,0,0.5682,0.3215,0
CUST_000114,29,25,30.18,-0.2715,4,6.7,63.4,0,Annual,SMB,7,4,30.9,1,14.2,22086.23,0,0.428,0.203,0
CUST_000115,18,17,6.42,-0.223,1,8.8,52.0,0,Annual,SMB,3,10,34.69,0,16.7,6429.0,0,0.4646,0.1724,0
CUST_000116,36,28,43.44,0.4973,3,9.0,38.2,0,Monthly,SMB,3,10,17.14,0,0.0,2542.59,0,0.6358,0.195,0
CUST_000117,29,27,20.94,-0.1112,1,7.0,22.2,0,Monthly,Enterprise,4,11,4.75,0,0.0,45964.23,0,0.8574,0.3013,0
CUST_000118,3,23,6.28,0.1101,4,7.6,51.9,0,Annual,Mid-Market,5,9,38.49,1,15.3,19725.1,0,0.6128,0.2417,0
CUST_000119,40,36,40.29,-0.0685,1,7.7,35.6,0,Monthly,Mid-Market,5,12,32.03,0,0.0,98226.14,0,0.4965,0.166,0
CUST_000120,13,27,15.92,0.2008,3,6.8,-2.8,0,Annual,SMB,4,5,14.6,0,3.5,23344.32,1,0.6819,0.1405,0
CUST_000121,29,26,13.53,0.0468,5,7.4,-15.3,0,Monthly,Mid-Market,1,6,27.53,2,11.7,28356.28,0,0.1883,0.0388,1
CUST_000122,40,20,8.25,0.1133,1,8.2,59.9,0,Annual,Mid-Market,4,10,8.38,0,0.0,3856.99,1,0.6619,0.2325,0
CUST_000123,6,16,11.44,0.3718,5,9.9,7.8,0,Monthly,SMB,4,4,46.07,1,0.0,28358.2,1,0.4602,0.1085,0
CUST_000124,2,27,29.73,0.1601,1,9.9,1.9,2,Multi-year,Mid-Market,5,11,14.41,0,0.0,12676.29,0,0.4216,0.0668,0
CUST_000125,4,30,9.28,-0.1338,0,9.5,61.1,0,Multi-year,SMB,6,3,37.14,2,0.0,10661.3,1,0.6349,0.0795,0
CUST_000126,10,29,30.49,0.128,2,6.9,58.4,0,Annual,Mid-Market,7,15,15.14,1,7.5,20222.24,1,0.8284,0.0962,0
CUST_000127,30,15,15.09,0.6547,2,5.6,38.3,0,Monthly,SMB,2,11,17.1,1,3.1,21700.6,0,0.7497,0.2651,0
CUST_000128,35,23,9.93,0.1912,4,7.6,-14.3,1,Multi-year,SMB,4,6,33.72,2,28.4,10941.59,0,0.6361,0.342,1
CUST_000129,1,24,11.62,0.088,1,4.7,12.2,0,Annual,Enterprise,5,13,4.02,0,3.5,33426.96,0,0.8362,0.1757,0
CUST_000130,12,26,24.05,-0.2926,6,6.5,13.0,1,Multi-year,Enterprise,3,13,33.04,1,0.0,12267.49,0,0.7775,0.1379,0
CUST_000131,9,23,20.48,0.2311,1,8.1,61.3,1,Annual,Mid-Market,3,7,19.11,1,1.9,86770.52,1,0.7708,0.4411,0
CUST_000132,4,31,44.73,0.2681,1,5.8,42.1,0,Annual,SMB,7,8,33.4,0,15.0,12170.55,0,0.7212,0.0993,0
CUST_000133,2,31,14.18,0.1282,3,7.5,11.8,0,Annual,Mid-Market,6,5,11.84,0,7.9,14907.51,0,0.8451,0.155,0
CUST_000134,7,18,30.9,0.0785,3,8.3,45.1,0,Annual,SMB,5,5,19.84,0,15.4,17932.1,0,0.336,0.0786,0
CUST_000135,51,25,18.42,0.7581,3,6.9,21.8,1,Monthly,SMB,5,16,14.12,0,4.9,12838.75,1,0.4482,0.1547,0
CUST_000136,7,31,10.04,0.2639,3,7.2,3.4,0,Multi-year,SMB,4,7,24.75,0,2.4,34020.83,0,0.6711,0.0861,0
CUST_000137,13,30,7.73,0.36,1,8.5,41.2,0,Monthly,Mid-Market,4,9,8.89,2,0.0,33301.38,0,0.8842,0.4038,0
CUST_000138,21,32,15.26,0.0667,3,9.6,54.3,0,Annual,SMB,5,7,18.81,0,0.0,3309.01,0,0.6727,0.3447,0
CUST_000139,8,30,17.63,0.0171,1,7.7,16.6,0,Multi-year,Mid-Market,7,8,22.6,0,0.0,4026.73,0,0.5168,0.2016,0
CUST_000140,64,41,40.76,0.208,4,7.9,14.3,0,Annual,Mid-Market,7,10,32.01,1,0.0,3478.75,0,0.8321,0.4105,0
CUST_000141,59,29,47.17,0.0169,0,7.1,19.9,0,Monthly,Mid-Market,6,16,7.09,0,2.8,9407.45,1,0.4344,0.1736,0
CUST_000142,5,30,44.4,0.0374,1,8.4,22.9,0,Monthly,Enterprise,4,6,44.43,0,5.2,4270.66,0,0.3762,0.1387,0
CUST_000143,12,21,11.09,0.1658,1,8.4,31.6,0,Annual,Mid-Market,4,7,35.71,0,10.4,12205.94,0,0.2866,0.1341,0
CUST_000144,6,30,9.27,-0.0782,0,8.2,34.0,0,Annual,Enterprise,4,10,13.93,0,0.0,22781.87,0,0.7062,0.3865,0
CUST_000145,6,24,11.47,0.1051,2,9.8,31.6,1,Annual,SMB,3,6,17.37,0,0.0,147415.86,0,0.5561,0.2648,0
CUST_000146,1,30,15.62,0.07,1,7.0,16.9,0,Multi-year,Enterprise,7,7,26.87,1,8.4,4558.94,0,0.58,0.1365,1
CUST_000147,16,32,5.29,0.2918,4,7.0,43.5,0,Annual,Enterprise,7,10,15.98,1,0.7,25070.22,1,0.8468,0.1744,0
CUST_000148,12,21,9.11,-0.1028,0,9.7,-6.9,0,Annual,SMB,2,2,12.84,2,11.0,53869.34,1,0.6698,0.164,1
CUST_000149,1,22,36.03,-0.45,3,6.6,10.2,0,Monthly,SMB,4,2,46.09,1,10.2,6695.51,1,0.4233,0.1421,1
CUST_000150,5,14,21.04,-0.0277,9,7.4,1.7,0,Monthly,SMB,2,8,39.69,3,15.6,126278.74,0,0.5617,0.182,1
CUST_000151,42,34,13.9,0.1493,3,9.8,13.6,0,Annual,SMB,7,14,18.08,0,1.3,44950.71,0,0.8909,0.2417,0
CUST_000152,4,21,5.12,0.291,0,8.7,32.9,0,Annual,Mid-Market,5,13,29.52,0,0.0,6671.75,0,0.6988,0.1203,0
CUST_000153,2,25,20.58,-0.1232,3,7.7,33.8,1,Multi-year,Mid-Market,7,8,20.47,1,1.4,10047.03,0,0.7984,0.473,0
CUST_000154,12,25,18.51,0.1855,0,7.3,24.7,0,Annual,Mid-Market,7,12,33.16,0,0.0,42924.89,0,0.6054,0.2819,0
CUST_000155,76,34,12.3,0.3338,2,9.0,17.9,0,Multi-year,SMB,6,14,20.45,0,5.8,9764.75,1,0.7659,0.1523,0
CUST_000156,4,19,27.02,0.2378,4,5.4,7.4,1,Annual,Enterprise,3,6,29.62,1,3.3,4549.59,0,0.5649,0.1957,0
CUST_000157,20,25,13.2,-0.1477,3,4.9,49.0,0,Multi-year,SMB,7,10,19.78,0,2.6,10747.24,0,0.2326,0.0614,0
CUST_000158,25,28,20.45,-0.1208,4,5.6,21.4,0,Multi-year,Mid-Market,6,6,19.73,1,4.6,7685.33,0,0.595,0.3222,0
CUST_000159,4,19,44.07,0.1588,1,7.4,11.3,0,Annual,SMB,7,12,44.03,0,0.0,65003.26,0,0.3488,0.1671,0
CUST_000160,23,28,27.08,0.4563,2,5.5,26.5,1,Monthly,SMB,6,10,22.08,1,0.0,12179.22,0,0.598,0.1526,0
CUST_000161,8,25,6.7,0.0535,5,10.0,8.2,1,Annual,SMB,5,12,30.04,2,10.9,6127.86,1,0.2886,0.1509,1
CUST_000162,18,28,26.89,0.0087,1,6.1,26.9,2,Monthly,Mid-Market,2,10,14.93,0,1.9,3912.78,0,0.4103,0.0587,0
CUST_000163,18,22,11.67,-0.2924,2,8.6,48.5,0,Annual,Enterprise,7,6,12.76,0,8.9,4103.57,0,0.6553,0.3149,0
CUST_000164,13,27,24.22,-0.0411,0,6.5,61.6,0,Monthly,SMB,7,6,23.29,1,28.2,3269.73,0,0.665,0.1558,0
CUST_000165,1,27,30.41,-0.1288,1,7.3,34.3,0,Annual,SMB,7,5,14.52,0,8.0,76726.55,0,0.423,0.0927,0
CUST_000166,32,40,20.8,0.0568,2,7.3,19.7,0,Monthly,SMB,5,6,17.63,1,0.0,33566.73,0,0.256,0.0922,0
CUST_000167,6,30,7.0,-0.3282,2,5.6,31.4,0,Monthly,SMB,2,5,23.54,0,1.5,49806.82,1,0.5088,0.107,0
CUST_000168,3,26,3.37,-0.0321,4,6.9,31.8,1,Annual,Mid-Market,7,6,22.72,1,0.0,57838.93,1,0.3991,0.0465,0
CUST_000169,1,25,34.34,-0.2022,0,9.7,31.5,0,Annual,SMB,6,11,24.45,1,0.0,15415.37,1,0.8956,0.1839,0
CUST_000170,16,27,41.55,0.2851,5,6.5,36.2,0,Annual,SMB,6,7,19.15,2,0.0,11493.8,0,0.7276,0.1073,0
CUST_000171,20,26,11.32,-0.1648,1,7.7,45.9,1,Annual,SMB,4,6,8.76,0,1.2,56276.17,1,0.6134,0.1767,0
CUST_000172,1,25,2.82,-0.0931,0,8.0,-2.1,1,Monthly,SMB,5,9,15.55,0,0.0,42295.88,1,0.6144,0.2787,0
CUST_000173,12,24,6.32,0.1205,1,7.9,45.0,0,Monthly,SMB,5,6,15.29,3,0.0,18979.91,1,0.6571,0.3422,0
CUST_000174,4,18,12.77,-0.0634,0,4.9,54.1,0,Annual,Enterprise,4,9,4.48,1,0.0,4296.48,0,0.3148,0.1142,0
CUST_000175,18,30,31.11,0.6399,1,8.5,55.7,1,Multi-year,SMB,5,16,24.11,0,0.0,19367.9,1,0.4686,0.2612,0
CUST_000176,3,29,2.95,0.2826,1,8.2,34.0,0,Annual,SMB,4,8,37.39,2,0.0,9672.01,0,0.6004,0.1341,0
CUST_000177,21,28,38.05,0.0543,5,6.9,65.3,1,Monthly,SMB,5,4,25.19,3,9.5,1969.84,0,0.6504,0.1371,1
CUST_000178,8,21,34.78,0.142,2,9.3,23.2,0,Multi-year,SMB,5,7,14.39,0,0.0,12214.07,0,0.8103,0.4545,0
CUST_000179,49,22,39.01,-0.5389,2,8.9,2.0,1,Annual,Mid-Market,4,13,23.32,0,11.8,6635.48,0,0.7425,0.4132,0
CUST_000180,2,22,8.1,0.3579,0,8.1,8.0,0,Multi-year,SMB,4,9,11.61,0,0.0,3140.53,0,0.5519,0.1169,0
CUST_000181,7,20,32.13,0.178,2,6.5,32.2,0,Annual,Mid-Market,4,10,17.33,0,0.0,10366.13,1,0.6967,0.2884,0
CUST_000182,2,38,17.77,0.0317,1,7.0,45.7,1,Monthly,SMB,5,7,53.23,0,0.0,11376.77,1,0.867,0.4161,0
